Brand,OS,Processor,RAM_Size,RAM_Type,Storage_Size,Storage_type,MRP
ASUS,Windows 11,Intel,4GB,DDR4,128GB,SSD,29980.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
RedmiBook,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 10,Intel,16GB,LPDDR4X,512GB,SSD,95990.0
DELL,Windows 11,AMD,8GB,DDR4,512GB,SSD,41600.0
DELL,Windows 11,Intel,16GB,DDR4,512GB,SSD,67224.0
ASUS,Windows 11,Intel,8GB,DDR4,512GB,SSD,61986.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,196990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,38705.0
ASUS,Windows 10,Intel,4GB,DDR4,1TB,HDD,61249.0
HP,Windows 11,AMD,8GB,DDR4,256GB,SSD,38999.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,85990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,35590.0
Lenovo,Windows 11,Intel,4GB,DDR4,256GB,SSD,31990.0
Lenovo,Windows 10,AMD,8GB,DDR4,256GB,SSD,37990.0
ASUS,Windows 11,Intel,4GB,DDR4,128GB,SSD,29980.0
ASUS,Windows 11,Intel,8GB,DDR4,512GB,SSD,46990.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,150990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,73490.0
Infinix,Windows 11,Intel,8GB,LPDDR4X,512GB,SSD,37990.0
Infinix,Windows 11,Intel,8GB,LPDDR4X,512GB,SSD,36990.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,194990.0
acer,Windows 11,AMD,8GB,DDR4,1TB,HDD,61490.0
HP,Windows 10,AMD,16GB,DDR4,1TB,SSD,109990.0
HP,Windows 11,AMD,8GB,DDR4,512GB,SSD,54990.0
Lenovo,Windows 10,AMD,8GB,DDR4,512GB,SSD,50990.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
RedmiBook,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
MSI,Windows 10,Intel,8GB,DDR4,1TB,HDD,62190.0
ASUS,Chrome ,Intel,4GB,LPDDR4,512GB,SSD,24390.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,196990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,38705.0
Lenovo,Windows 11,Intel,8GB,DDR4,1TB,HDD,36990.0
HP,Windows 10,AMD,16GB,DDR4,1TB,SSD,159990.0
ASUS,Windows 11,Intel,4GB,DDR4,256GB,SSD,34490.0
ASUS,Windows 11,AMD,16GB,DDR4,512GB,SSD,99990.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,85990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,35590.0
ASUS,Windows 11,Intel,8GB,LPDDR4X,512GB,SSD,79990.0
Infinix,Windows 11,Intel,4GB,LPDDR4X,128GB,SSD,20990.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,150990.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
HP,Windows 11,Intel,8GB,DDR4,1TB,HDD,41490.0
DELL,Windows 11,AMD,16GB,DDR5,1TB,SSD,206581.0
ASUS,Windows 11,AMD,8GB,DDR4,512GB,SSD,59990.0
acer,Windows 11,Intel,16GB,DDR4,512GB,SSD,62990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,194990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,44990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,194990.0
ASUS,Windows 10,AMD,8GB,DDR4,1TB,HDD,62990.0
RedmiBook,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,196990.0
Lenovo,Windows 10,AMD,8GB,DDR4,512GB,SSD,61990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,105990.0
acer,Windows 11,Intel,16GB,DDR5,1TB,SSD,155490.0
Ultimus,Windows 11,Intel,4GB,LPDDR4,128GB,SSD,19990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,38705.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,85990.0
Lenovo,Windows 10,Intel,4GB,DDR4,1TB,HDD,33499.0
Infinix,Windows 11,Intel,8GB,LPDDR4X,512GB,SSD,42990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,35590.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,150990.0
HP,Windows 11,Intel,8GB,DDR4,512GB,SSD,63990.0
acer,Windows 11,Intel,16GB,DDR4,1TB,SSD,124990.0
ASUS,Windows 11,Intel,4GB,DDR4,512GB,SSD,21990.0
Lenovo,Windows 10,Intel,4GB,DDR4,256GB,SSD,30100.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
HP,Windows 11,Intel,32GB,DDR5,1TB,SSD,199990.0
acer,Windows 11,Intel,8GB,DDR4,1TB,HDD,61130.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,194990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,44990.0
Lenovo,Windows 11,Intel,8GB,DDR4,1TB,HDD,40990.0
ASUS,Windows 10,Intel,8GB,DDR4,1TB,SSD,75990.0
HP,Windows 11,Intel,8GB,DDR4,512GB,SSD,46890.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,37390.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
Lenovo,Windows 11,Intel,16GB,DDR4,512GB,SSD,68490.0
ASUS,Windows 11,Intel,4GB,DDR4,512GB,SSD,19990.0
RedmiBook,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,196990.0
ASUS,Windows 11,Intel,16GB,DDR4,512GB,SSD,89990.0
DELL,Windows 11,Intel,8GB,DDR4,512GB,SSD,59790.0
MSI,Windows 11,Intel,16GB,DDR4,1TB,SSD,125990.0
ASUS,Windows 11,AMD,32GB,DDR5,2TB,SSD,249990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,38705.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,85990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,149990.0
DELL,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,35590.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,150990.0
ASUS,Windows 10,Intel,16GB,DDR4,512GB,SSD,85990.0
HP,Windows 10,AMD,8GB,DDR4,512GB,SSD,60990.0
DELL,Windows 11,Intel,8GB,DDR5,512GB,SSD,87900.0
Lenovo,Windows 10,AMD,4GB,DDR4,1TB,HDD,27490.0
DELL,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
ASUS,Windows 11,AMD,32GB,DDR5,2TB,SSD,249990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,149990.0
RedmiBook,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
HP,Windows 11,AMD,8GB,DDR4,1TB,HDD,28999.0
DELL,Windows 11,Intel,8GB,DDR5,512GB,SSD,87900.0
acer,Windows 10,Intel,16GB,DDR4,1TB,HDD,117990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,38705.0
ASUS,Windows 10,Intel,16GB,DDR4,512GB,SSD,85990.0
DELL,Windows 11,Intel,8GB,DDR4,1TB,HDD,61497.0
HP,Windows 11,AMD,8GB,DDR4,512GB,SSD,70400.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,196990.0
Lenovo,Windows 10,Intel,16GB,DDR4,512GB,SSD,69000.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,64490.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,149990.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,85990.0
HP,Windows 11,AMD,8GB,DDR5,512GB,SSD,96579.0
DELL,Windows 11,Intel,16GB,DDR4,512GB,SSD,101990.0
ASUS,Windows 11,Intel,16GB,DDR4,512GB,SSD,89990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,35590.0
HP,Windows 11,AMD,8GB,DDR5,512GB,SSD,94990.0
MSI,Windows 11,Intel,32GB,DDR5,2TB,SSD,314990.0
DELL,Windows 11,Intel,8GB,DDR4,1TB,HDD,46900.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,150990.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 11,Intel,32GB,DDR5,2TB,SSD,331990.0
DELL,Windows 11,Intel,16GB,DDR5,1TB,SSD,116490.0
HP,Windows 10,AMD,8GB,DDR4,512GB,SSD,64590.0
DELL,Windows 11,Intel,16GB,DDR5,1TB,SSD,137990.0
RedmiBook,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,196990.0
DELL,Windows 10,Intel,8GB,DDR4,512GB,SSD,55690.0
Lenovo,Windows 10,Intel,16GB,DDR4,512GB,SSD,109990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,38705.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,85990.0
ASUS,Windows 10,Intel,8GB,DDR4,1TB,HDD,79990.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,130500.0
ASUS,Windows 11,AMD,32GB,DDR5,2TB,SSD,361990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,211990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,35590.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,150990.0
DELL,Windows 10,Intel,4GB,DDR4,256GB,SSD,39890.0
MSI,Windows 11,Intel,16GB,DDR4,1TB,SSD,139990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,73490.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,194990.0
MSI,Windows 10,Intel,16GB,DDR4,1TB,HDD,99990.0
HP,Windows 10,Intel,16GB,DDR4,512GB,SSD,66700.0
DELL,Windows 10,Intel,8GB,DDR4,1TB,HDD,68990.0
DELL,Windows 11,Intel,32GB,DDR4,1TB,SSD,434830.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ALIENWARE,Windows 10,Intel,32GB,DDR4,1TB,SSD,345390.0
HP,Windows 11,Intel,16GB,DDR4,512GB,SSD,105822.0
RedmiBook,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,196990.0
Lenovo,Chrome ,Intel,4GB,LPDDR4X,512GB,SSD,28490.0
Lenovo,Windows 10,Intel,16GB,DDR4,512GB,SSD,66990.0
acer,Windows 11,Intel,8GB,DDR4,512GB,SSD,86999.0
ASUS,Windows 10,Intel,8GB,DDR4,256GB,SSD,36990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,38705.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,85990.0
Lenovo,Windows 11,Intel,4GB,DDR4,256GB,SSD,23250.0
DELL,Windows 10,Intel,8GB,DDR4,256GB,SSD,42390.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,35590.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,150990.0
Lenovo,Windows 10,Intel,8GB,DDR4,512GB,SSD,58990.0
ASUS,Windows 10,Intel,16GB,DDR4,1TB,SSD,110990.0
acer,Windows 10,Intel,8GB,DDR4,128GB,SSD,74590.0
DELL,Windows 11,AMD,8GB,DDR4,512GB,SSD,71990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,194990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,44990.0
Lenovo,Windows 10,Intel,16GB,DDR4,512GB,SSD,84990.0
ASUS,Windows 11,AMD,16GB,LPDDR5,1TB,SSD,119990.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
MSI,Windows 10,Intel,32GB,DDR4,1TB,SSD,214990.0
MSI,Windows 10,Intel,8GB,DDR4,512GB,SSD,48790.0
DELL,Windows 11,AMD,16GB,DDR4,512GB,SSD,76000.0
ASUS,Windows 10,AMD,32GB,LPDDR4X,1TB,SSD,224990.0
RedmiBook,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,196990.0
Infinix,Windows 11,Intel,8GB,LPDDR4X,512GB,SSD,49990.0
ASUS,Windows 11,Intel,16GB,LPDDR5,512GB,SSD,164990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,38705.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,85990.0
HP,Windows 11,AMD,8GB,DDR4,256GB,SSD,31490.0
DELL,Windows 11,Intel,8GB,DDR4,512GB,SSD,48077.0
ASUS,Windows 10,AMD,16GB,DDR4,1TB,SSD,154990.0
ASUS,Windows 10,Intel,32GB,DDR4,1TB,SSD,224990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,35590.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,150990.0
ASUS,Windows 10,Intel,8GB,DDR4,1TB,HDD,44990.0
ASUS,Windows 10,Intel,8GB,DDR4,512GB,SSD,65990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,73490.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,194990.0
ASUS,Windows 10,Intel,8GB,DDR4,1TB,HDD,31990.0
Lenovo,Windows 10,Intel,8GB,DDR4,256GB,SSD,38980.0
HP,Windows 10,AMD,8GB,DDR4,512GB,SSD,68990.0
DELL,Windows 10,Intel,8GB,DDR4,256GB,SSD,43090.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
RedmiBook,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 10,AMD,16GB,DDR4,1TB,SSD,154990.0
ASUS,Windows 10,Intel,8GB,DDR4,512GB,SSD,65990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,196990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,38705.0
DELL,Windows 11,Intel,8GB,DDR4,512GB,SSD,49348.0
DELL,Windows 11,Intel,16GB,DDR5,512GB,SSD,221774.0
Lenovo,Windows 10,AMD,8GB,DDR4,512GB,SSD,73990.0
DELL,Windows 11,AMD,16GB,DDR4,512GB,SSD,77990.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,85990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,35590.0
ALIENWARE,Windows 10,Intel,16GB,DDR4,1TB,SSD,214790.0
ALIENWARE,Windows 10,Intel,16GB,DDR4,512GB,SSD,199990.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,150990.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
DELL,Windows 11,Intel,8GB,DDR4,512GB,SSD,48077.0
DELL,Windows 11,AMD,8GB,DDR4,512GB,SSD,52414.0
ASUS,Windows 11,Intel,16GB,DDR5,1TB,SSD,179990.0
ASUS,Chrome ,Intel,4GB,LPDDR4,512GB,SSD,25990.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
DELL,Windows 11,Intel,16GB,DDR4,512GB,SSD,80615.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,155990.0
RedmiBook,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,196990.0
Infinix,Windows 11,Intel,16GB,LPDDR4X,512GB,SSD,49990.0
Lenovo,Windows 11,Intel,16GB,DDR4,1TB,SSD,157990.0
ASUS,Windows 11,Intel,16GB,DDR5,512GB,SSD,92990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,171990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,38705.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,85990.0
ASUS,Windows 10,Intel,8GB,DDR4,1TB,HDD,44990.0
ASUS,Windows 11,AMD,16GB,LPDDR5,1TB,SSD,151990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,35590.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,150990.0
ASUS,Windows 10,Intel,16GB,LPDDR3,2TB,SSD,233990.0
DELL,Windows 11,Intel,16GB,DDR5,512GB,SSD,76590.0
HP,Windows 10,AMD,16GB,DDR4,512GB,SSD,90000.0
ASUS,Chrome ,Intel,4GB,LPDDR4,512GB,SSD,23490.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,73490.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,194990.0
ASUS,Windows 11,Intel,16GB,LPDDR5,512GB,SSD,125990.0
Lenovo,Windows 10,Intel,8GB,DDR4,1TB,HDD,50990.0
